genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
Lemont	Chr1	2814057	2902173	0.9883	0.00	1.1583	.	42	88116	1	70811
Lemont	Chr1	3081766	3029589	0.0442	0.00	0.1293	.	13	-52177	33518	49419
Lemont	Chr2	30868970	31136449	0.0252	0.00	0.1221	.	2	267479	7346	11381
Lemont	Chr1	41367120	41371063	0.0195	0.00	0.1205	.	2	3943	7346	8727
Lemont	Chr1	41367120	41371063	0.0195	0.00	0.1205	.	2	3943	7346	8727
NamRoo	Chr1	2831082	2929552	0.9883	0.00	1.1543	.	42	98470	1	70811
NamRoo	Contig130END	32466	33228	0.0236	0.00	0.1344	.	2	762	33525	46738
NamRoo	Chr1	3115715	3056964	0.0442	0.00	0.1293	.	13	-58751	33518	49419
NamRoo	Chr2	30464963	30731936	0.0252	0.00	0.1221	.	2	266973	7346	11381
NamRoo	Chr1	40803577	40807520	0.0195	0.00	0.1205	.	2	3943	7346	8727
NamRoo	Chr1	40803577	40807520	0.0195	0.00	0.1205	.	2	3943	7346	8727
KY131	Chr1	2647379	2747258	0.9909	0.00	1.1628	.	40	99879	1	70811
KY131	Chr1	2866731	2865107	0.0454	0.00	0.1746	.	12	-1624	33525	49419
KY131	Chr2	30440118	30699118	0.0252	0.00	0.1221	.	2	259000	7346	11381
KY131	Chr1	40394207	40398150	0.0195	0.00	0.1205	.	2	3943	7346	8727
KY131	Chr1	40394207	40398150	0.0195	0.00	0.1205	.	2	3943	7346	8727
KY131	Chr5	29043081	29043565	0.0138	0.00	0.0886	.	2	484	33814	46623
KY131	Chr5	29043081	29043565	0.0138	0.00	0.0886	.	2	484	33814	46623
KY131	Chr3	9525303	9525756	0.0128	0.00	0.0848	.	2	453	33832	46610
KY131	Chr8	24496190	24496633	0.0124	0.00	0.0829	.	2	443	33861	46621
KY131	Chr1	36029780	36030144	0.0112	0.00	0.0770	.	2	364	33877	46618
KY131	Chr1	36029780	36030144	0.0112	0.00	0.0770	.	2	364	33877	46618
KY131	Chr1	17383907	17384287	0.0109	0.00	0.0760	.	2	380	33901	46610
KY131	Chr1	17383907	17384287	0.0109	0.00	0.0760	.	2	380	33901	46610
KY131	Chr5	23025276	23025570	0.0083	0.00	0.0638	.	2	294	33996	46613
KY131	Chr5	23025276	23025570	0.0083	0.00	0.0638	.	2	294	33996	46613
LJ	Chr1	2562566	2633362	1.0000	0.00	1.1656	.	29	70796	1	70811
LJ	Chr1	2752817	2751193	0.0454	0.00	0.1746	.	12	-1624	33525	49419
LJ	Chr2	30731306	30990197	0.0252	0.00	0.1221	.	2	258891	7346	11381
LJ	Chr1	40755584	40759527	0.0195	0.00	0.1205	.	2	3943	7346	8727
LJ	Chr1	40755584	40759527	0.0195	0.00	0.1205	.	2	3943	7346	8727
LJ	Chr5	29461515	29461999	0.0138	0.00	0.0886	.	2	484	33814	46623
LJ	Chr5	29461515	29461999	0.0138	0.00	0.0886	.	2	484	33814	46623
