genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
W0632	chr1	2598110	2669798	0.9993	0.00	1.1618	.	40	71688	1	70811
W0632	chr1	2801030	2799406	0.0454	0.00	0.1746	.	12	-1624	33525	49419
W0632	chr2	32118753	32397541	0.0252	0.00	0.1221	.	2	278788	7346	11381
W0632	chr1	41175808	41179750	0.0195	0.00	0.1205	.	2	3942	7346	8727
W0632	chr1	41175808	41179750	0.0195	0.00	0.1205	.	2	3942	7346	8727
W0632	chr5	30253408	30253892	0.0138	0.00	0.0886	.	2	484	33814	46623
W0632	chr5	30253408	30253892	0.0138	0.00	0.0886	.	2	484	33814	46623
W0632	chr8	24928269	24928735	0.0131	0.00	0.0861	.	2	466	33832	46621
W0632	chr8	24928269	24928735	0.0131	0.00	0.0861	.	2	466	33832	46621
W0632	chr3	9870316	9870769	0.0128	0.00	0.0848	.	2	453	33832	46610
W0632	chr3	9870316	9870769	0.0128	0.00	0.0848	.	2	453	33832	46610
W0632	chr2	15951760	15951625	0.0177	0.00	0.0829	.	3	-135	28553	41791
W0632	chr1	36709821	36710185	0.0112	0.00	0.0770	.	2	364	33877	46618
W0632	chr1	36709821	36710185	0.0112	0.00	0.0770	.	2	364	33877	46618
W0632	chr1	18114276	18114633	0.0103	0.00	0.0730	.	2	357	33924	46610
W0632	chr1	18114276	18114633	0.0103	0.00	0.0730	.	2	357	33924	46610
W0632	chr5	24159820	24160114	0.0083	0.00	0.0638	.	2	294	33996	46613
W0639	chr1	2665024	2735900	0.9957	0.00	1.1569	.	42	70876	1	70811
W0639	chr1	2851467	2849843	0.0454	0.00	0.1746	.	12	-1624	33525	49419
W0639	chr2	32707689	32959919	0.0252	0.00	0.1221	.	2	252230	7346	11381
W0639	chr1	44247554	44251496	0.0195	0.00	0.1205	.	2	3942	7346	8727
W0639	chr1	44247554	44251496	0.0195	0.00	0.1205	.	2	3942	7346	8727
W0639	chr5	29680765	29681249	0.0138	0.00	0.0886	.	2	484	33814	46623
W0639	chr5	29680765	29681249	0.0138	0.00	0.0886	.	2	484	33814	46623
W0639	chr8	26053086	26053552	0.0131	0.00	0.0861	.	2	466	33832	46621
W0639	chr3	9828459	9828912	0.0128	0.00	0.0848	.	2	453	33832	46610
W0639	chr2	16346976	16346841	0.0177	0.00	0.0829	.	3	-135	28553	41791
W0639	chr1	39797699	39798063	0.0112	0.00	0.0770	.	2	364	33877	46618
W0639	chr1	39797699	39798063	0.0112	0.00	0.0770	.	2	364	33877	46618
W0639	chr1	20361229	20361586	0.0103	0.00	0.0730	.	2	357	33924	46610
W0639	chr1	20361229	20361586	0.0103	0.00	0.0730	.	2	357	33924	46610
W0639	chr5	23717894	23718188	0.0083	0.00	0.0638	.	2	294	33996	46613
W0639	chr5	23717894	23718188	0.0083	0.00	0.0638	.	2	294	33996	46613
W1080	chr1	2625895	2696742	0.9960	0.00	1.1531	.	41	70847	1	70811
W1080	chr1	2862933	2810768	0.0442	0.00	0.1293	.	14	-52165	33518	49419
W1080	chr2	31671333	31944386	0.0252	0.00	0.1221	.	2	273053	7346	11381
W1080	chr1	41301743	41305685	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1080	chr1	41301743	41305685	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1080	chr5	29847234	29847718	0.0138	0.00	0.0886	.	2	484	33814	46623
W1080	chr5	29847234	29847718	0.0138	0.00	0.0886	.	2	484	33814	46623
W1080	chr8	25249215	25249681	0.0131	0.00	0.0861	.	2	466	33832	46621
W1080	chr3	9896514	9896967	0.0128	0.00	0.0848	.	2	453	33832	46610
W1080	chr2	16207238	16207103	0.0177	0.00	0.0829	.	3	-135	28553	41791
W1080	chr1	36973642	36974006	0.0112	0.00	0.0770	.	2	364	33877	46618
W1080	chr1	36973642	36974006	0.0112	0.00	0.0770	.	2	364	33877	46618
W1080	chr1	18181727	18182084	0.0103	0.00	0.0730	.	2	357	33924	46610
W1080	chr1	18181727	18182084	0.0103	0.00	0.0730	.	2	357	33924	46610
W1080	chr5	23972882	23973176	0.0083	0.00	0.0638	.	2	294	33996	46613
W1080	chr5	23972882	23973176	0.0083	0.00	0.0638	.	2	294	33996	46613
W1107	chr1	2463858	2581823	0.9912	0.00	1.1360	.	43	117965	1	70811
W1107	chr1	2747787	2695606	0.0442	0.00	0.1293	.	13	-52181	33518	49419
W1107	chr2	31364151	31616208	0.0252	0.00	0.1221	.	2	252057	7346	11381
W1107	chr1	40786621	40790563	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1107	chr1	40786621	40790563	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1107	chr2	15957586	15957451	0.0177	0.00	0.0829	.	3	-135	28553	41791
W1117	chr1	2610994	2695269	1.0000	0.00	1.1557	.	41	84275	1	70811
W1117	chr1	2813126	2811502	0.0454	0.00	0.1746	.	12	-1624	33525	49419
W1117	chr2	32302602	32554590	0.0252	0.00	0.1221	.	2	251988	7346	11381
W1117	chr1	42050849	42054791	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1117	chr1	42050849	42054791	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1117	chr5	30113827	30114311	0.0138	0.00	0.0886	.	2	484	33814	46623
W1117	chr5	30113827	30114311	0.0138	0.00	0.0886	.	2	484	33814	46623
W1117	chr3	9716193	9716646	0.0128	0.00	0.0848	.	2	453	33832	46610
W1117	chr2	16367094	16366959	0.0177	0.00	0.0829	.	3	-135	28553	41791
W1117	chr8	26630402	26630845	0.0124	0.00	0.0829	.	2	443	33861	46621
W1117	chr1	37727093	37727457	0.0112	0.00	0.0770	.	2	364	33877	46618
W1117	chr1	37727093	37727457	0.0112	0.00	0.0770	.	2	364	33877	46618
W1117	chr1	18917163	18917520	0.0103	0.00	0.0730	.	2	357	33924	46610
W1117	chr1	18917163	18917520	0.0103	0.00	0.0730	.	2	357	33924	46610
W1117	chr5	24150278	24150572	0.0083	0.00	0.0638	.	2	294	33996	46613
W1117	chr5	24150278	24150572	0.0083	0.00	0.0638	.	2	294	33996	46613
W1719	chr1	2684449	2768712	1.0000	0.00	1.1570	.	38	84263	1	70811
W1719	W1719_203	10892	17090	0.3995	0.00	0.5360	.	13	6198	21303	54528
W1719	chr1	2886664	2885040	0.0437	0.00	0.1731	.	10	-1624	33525	49419
W1719	chr2	32939910	33192297	0.0252	0.00	0.1221	.	2	252387	7346	11381
W1719	chr1	42206542	42210484	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1719	chr1	42206542	42210484	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1719	chr2	16602339	16602204	0.0177	0.00	0.0829	.	3	-135	28553	41791
W1723	chr1	2624878	2699719	1.0000	0.00	1.1545	.	40	74841	1	70811
W1723	chr1	2817449	2815825	0.0454	0.00	0.1746	.	12	-1624	33525	49419
W1723	chr1	41472215	41476157	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1723	chr1	41472215	41476157	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1723	chr5	30200475	30200959	0.0138	0.00	0.0886	.	2	484	33814	46623
W1723	chr5	30200475	30200959	0.0138	0.00	0.0886	.	2	484	33814	46623
W1723	chr8	24968303	24968769	0.0131	0.00	0.0861	.	2	466	33832	46621
W1723	chr3	10261746	10262199	0.0128	0.00	0.0848	.	2	453	33832	46610
W1723	chr2	16019655	16019520	0.0177	0.00	0.0829	.	3	-135	28553	41791
W1723	chr1	37089972	37090336	0.0112	0.00	0.0770	.	2	364	33877	46618
W1723	chr1	37089972	37090336	0.0112	0.00	0.0770	.	2	364	33877	46618
W1723	chr1	18396919	18397276	0.0103	0.00	0.0730	.	2	357	33924	46610
W1723	chr1	18396919	18397276	0.0103	0.00	0.0730	.	2	357	33924	46610
W1723	chr5	24322264	24322558	0.0083	0.00	0.0638	.	2	294	33996	46613
W1839	chr1	2683700	2767968	1.0000	0.00	1.1557	.	41	84268	1	70811
W1839	chr1	2885927	2884303	0.0454	0.00	0.1746	.	12	-1624	33525	49419
W1839	chr1	41635058	41639000	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1839	chr1	41635058	41639000	0.0195	0.00	0.1205	.	2	3942	7346	8727
W1839	chr5	29373164	29373648	0.0138	0.00	0.0886	.	2	484	33814	46623
W1839	chr5	29373164	29373648	0.0138	0.00	0.0886	.	2	484	33814	46623
W1839	chr3	9801192	9801645	0.0128	0.00	0.0848	.	2	453	33832	46610
W1839	chr2	17399158	17399023	0.0177	0.00	0.0829	.	3	-135	28553	41791
W1839	chr8	25585305	25585748	0.0124	0.00	0.0829	.	2	443	33861	46621
