genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
Oru	Chr1	2332454	2393752	0.9037	0.00	1.0865	.	23	61298	1	70811
Oru	Chr1	2514188	2512663	0.0326	0.00	0.1369	.	4	-1525	45846	49419
Oru	Chr2	28504268	28751674	0.0252	0.00	0.1221	.	2	247406	7346	11381
Oni	1	2645312	2717249	1.0000	0.00	1.1529	.	43	71937	1	70811
Oni	1	2876356	2824201	0.0442	0.00	0.1291	.	14	-52155	33518	49419
Oni	5	29839456	29839940	0.0138	0.00	0.0886	.	2	484	33814	46623
Oni	5	29839456	29839940	0.0138	0.00	0.0886	.	2	484	33814	46623
Oni	8	25626276	25626742	0.0131	0.00	0.0861	.	2	466	33832	46621
Oni	8	25626276	25626742	0.0131	0.00	0.0861	.	2	466	33832	46621
Oni	3	9751324	9751777	0.0128	0.00	0.0848	.	2	453	33832	46610
Oni	2	16596437	16596302	0.0177	0.00	0.0829	.	3	-135	28553	41791
Oni	1	37459138	37459502	0.0112	0.00	0.0770	.	2	364	33877	46618
Oni	1	37459138	37459502	0.0112	0.00	0.0770	.	2	364	33877	46618
Oni	1	18644629	18644986	0.0103	0.00	0.0730	.	2	357	33924	46610
Oni	1	18644629	18644986	0.0103	0.00	0.0730	.	2	357	33924	46610
Oni	5	23824850	23825139	0.0082	0.00	0.0632	.	2	289	34001	46613
Oni	5	23824850	23825139	0.0082	0.00	0.0632	.	2	289	34001	46613
Oba	1	2413558	2469378	0.9014	0.00	1.0731	.	31	55820	1	70811
Oba	1	2578837	2576410	0.0637	0.00	0.1952	.	11	-2427	33525	51348
Oba	2	14671949	14675696	0.0177	0.00	0.1185	.	2	3747	7346	8598
Oba	2	15342045	15341909	0.0179	0.00	0.0837	.	3	-136	28541	41791
Oba	2	15342045	15341909	0.0179	0.00	0.0837	.	3	-136	28541	41791
Ogla	1	2277407	2335634	0.9012	0.00	1.0767	.	32	58227	1	70811
Ogla	1	2444706	2442279	0.0723	0.00	0.2030	.	13	-2427	33525	51348
Ogla	2	29383049	29630893	0.0207	0.00	0.1010	.	2	247844	7346	11381
Ogla	5	25181468	25181952	0.0138	0.00	0.0886	.	2	484	33814	46623
Ogla	5	25181468	25181952	0.0138	0.00	0.0886	.	2	484	33814	46623
Ogla	8	21429109	21429575	0.0131	0.00	0.0861	.	2	466	33832	46621
Ogla	3	8961122	8961575	0.0128	0.00	0.0848	.	2	453	33832	46610
Ogla	3	8961122	8961575	0.0128	0.00	0.0848	.	2	453	33832	46610
Ogla	2	14407568	14408480	0.0190	0.00	0.0847	.	3	912	28541	41791
Ogla	1	33015876	33016240	0.0112	0.00	0.0770	.	2	364	33877	46618
Ogla	1	33015876	33016240	0.0112	0.00	0.0770	.	2	364	33877	46618
Ogla	1	16131475	16131855	0.0109	0.00	0.0760	.	2	380	33901	46610
Ogla	1	16131475	16131855	0.0109	0.00	0.0760	.	2	380	33901	46610
Ogla	5	19730950	19731234	0.0083	0.00	0.0638	.	2	284	33996	46613
Ogla	5	19730950	19731234	0.0083	0.00	0.0638	.	2	284	33996	46613
Oglu	1	3029686	3079032	0.8873	0.00	1.0381	.	36	49346	2009	70811
Oglu	1	3201849	3207710	0.0709	0.00	0.2014	.	13	5861	33525	51226
Oglu	2	15125260	15129176	0.0195	0.00	0.1205	.	2	3916	7346	8727
Oglu	5	29031032	29031516	0.0138	0.00	0.0886	.	2	484	33814	46623
Oglu	5	29031032	29031516	0.0138	0.00	0.0886	.	2	484	33814	46623
Oglu	8	24230101	24230567	0.0131	0.00	0.0861	.	2	466	33832	46621
Oglu	8	24230101	24230567	0.0131	0.00	0.0861	.	2	466	33832	46621
Oglu	3	10021787	10022240	0.0128	0.00	0.0848	.	2	453	33832	46610
Oglu	3	10021787	10022240	0.0128	0.00	0.0848	.	2	453	33832	46610
Oglu	2	16002923	16002788	0.0179	0.00	0.0837	.	3	-135	28541	41791
Oglu	2	16002923	16002788	0.0179	0.00	0.0837	.	3	-135	28541	41791
Oglu	1	38418259	38418623	0.0112	0.00	0.0770	.	2	364	33877	46618
Oglu	1	38418259	38418623	0.0112	0.00	0.0770	.	2	364	33877	46618
