# Best collinear region per genome
# (regions.csv format, ready for pyGeSyn plot)
MSU,Chr8,2852169,2940417
G46,Chr8,2883723,2991441
CN1,Chr8,2974308,3004792
FS32,Chr8,2957498,3065235
DG,Chr8,2955645,3063385
D62,Chr8,2949437,3057172
II32,Chr8,2954530,3062264
R527,Chr8,2895224,2925700
S548,Chr8,2893899,2924354
9311,Chr8,2510762,2592989
Y58S,Chr8,2879051,2986797
J4155,Chr8,2882523,2912983
G8,Chr8,2966725,2997181
Y3551,Chr8,2853175,2960902
IR64,Chr8,2927122,3034865
R498,Chr8,2860774,2968519
TM,Chr8,2948669,3024024
Tumba,Chr8,2801382,2909076
G630,Chr8,2909272,3017018
YX1,Chr8,2525606,2600651
WSSM,Chr8,2863321,2971054
FH838,Chr8,2948873,2979337
N22,Chr8,2458857,2536717
Basmati1,Chr8,2803962,2911668
Kasalath,chr08,2640301,2709060
