genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
G46	Chr1	2615438	2686318	0.9960	0.00	1.1549	.	41	70880	1	70811
G46	Chr1	2800011	2795065	0.0726	0.00	0.2034	.	13	-4946	33525	51348
G46	Chr1	41164414	41168356	0.0195	0.00	0.1205	.	2	3942	7346	8727
G46	Chr1	41164414	41168356	0.0195	0.00	0.1205	.	2	3942	7346	8727
G46	Chr5	29243928	29244412	0.0138	0.00	0.0886	.	2	484	33814	46623
G46	Chr5	29243928	29244412	0.0138	0.00	0.0886	.	2	484	33814	46623
G46	Chr3	9725529	9725982	0.0128	0.00	0.0848	.	2	453	33832	46610
G46	Chr3	9725529	9725982	0.0128	0.00	0.0848	.	2	453	33832	46610
G46	Chr2	16029748	16029613	0.0177	0.00	0.0829	.	3	-135	28553	41791
G46	Chr8	26115293	26115736	0.0124	0.00	0.0829	.	2	443	33861	46621
G46	Chr1	36750444	36750808	0.0112	0.00	0.0770	.	2	364	33877	46618
G46	Chr1	36750444	36750808	0.0112	0.00	0.0770	.	2	364	33877	46618
G46	Chr1	18038598	18038955	0.0103	0.00	0.0730	.	2	357	33924	46610
G46	Chr1	18038598	18038955	0.0103	0.00	0.0730	.	2	357	33924	46610
G46	Chr5	23355430	23355724	0.0083	0.00	0.0638	.	2	294	33996	46613
G46	Chr5	23355430	23355724	0.0083	0.00	0.0638	.	2	294	33996	46613
CN1	Chr1	2463489	2536213	0.9884	0.00	1.1461	.	47	72724	1	70811
CN1	Chr1	2715480	2663287	0.0442	0.00	0.1293	.	14	-52193	33518	49419
CN1	Chr5	29135759	29136243	0.0138	0.00	0.0886	.	2	484	33814	46623
CN1	Chr5	29135759	29136243	0.0138	0.00	0.0886	.	2	484	33814	46623
CN1	Chr3	9797078	9797531	0.0128	0.00	0.0848	.	2	453	33832	46610
CN1	Chr2	15962849	15962714	0.0177	0.00	0.0829	.	3	-135	28553	41791
CN1	Chr8	26287862	26288305	0.0124	0.00	0.0829	.	2	443	33861	46621
CN1	Chr1	37241287	37241651	0.0112	0.00	0.0770	.	2	364	33877	46618
CN1	Chr1	37241287	37241651	0.0112	0.00	0.0770	.	2	364	33877	46618
CN1	Chr1	18404991	18405348	0.0103	0.00	0.0730	.	2	357	33924	46610
CN1	Chr1	18404991	18405348	0.0103	0.00	0.0730	.	2	357	33924	46610
CN1	Chr5	23274226	23274520	0.0083	0.00	0.0638	.	2	294	33996	46613
CN1	Chr5	23274226	23274520	0.0083	0.00	0.0638	.	2	294	33996	46613
FS32	Chr1	2629250	2700169	0.9960	0.00	1.1560	.	42	70919	1	70811
FS32	Chr1	2813761	2808815	0.0726	0.00	0.2034	.	13	-4946	33525	51348
FS32	Chr2	32550265	32824901	0.0252	0.00	0.1221	.	2	274636	7346	11381
FS32	Chr5	29187801	29188285	0.0138	0.00	0.0886	.	2	484	33814	46623
FS32	Chr5	29187801	29188285	0.0138	0.00	0.0886	.	2	484	33814	46623
FS32	Chr3	9839875	9840328	0.0128	0.00	0.0848	.	2	453	33832	46610
FS32	Chr2	16068153	16068018	0.0177	0.00	0.0829	.	3	-135	28553	41791
FS32	Chr8	25513074	25513517	0.0124	0.00	0.0829	.	2	443	33861	46621
FS32	Chr1	36925503	36925867	0.0112	0.00	0.0770	.	2	364	33877	46618
FS32	Chr1	36925503	36925867	0.0112	0.00	0.0770	.	2	364	33877	46618
FS32	Chr1	18209117	18209474	0.0103	0.00	0.0730	.	2	357	33924	46610
FS32	Chr1	18209117	18209474	0.0103	0.00	0.0730	.	2	357	33924	46610
FS32	Chr5	23317210	23317504	0.0083	0.00	0.0638	.	2	294	33996	46613
FS32	Chr5	23317210	23317504	0.0083	0.00	0.0638	.	2	294	33996	46613
DG	Chr1	2479623	2550523	0.9960	0.00	1.1548	.	41	70900	1	70811
DG	Chr1	2664102	2659156	0.0726	0.00	0.2034	.	13	-4946	33525	51348
DG	Chr2	32500625	32767589	0.0252	0.00	0.1221	.	2	266964	7346	11381
DG	Chr5	29455805	29456289	0.0138	0.00	0.0886	.	2	484	33814	46623
DG	Chr5	29455805	29456289	0.0138	0.00	0.0886	.	2	484	33814	46623
DG	Chr3	9012163	9012616	0.0128	0.00	0.0848	.	2	453	33832	46610
DG	Chr2	15855290	15855155	0.0177	0.00	0.0829	.	3	-135	28553	41791
DG	Chr8	26214206	26214649	0.0124	0.00	0.0829	.	2	443	33861	46621
DG	Chr1	36697177	36697541	0.0112	0.00	0.0770	.	2	364	33877	46618
DG	Chr1	36697177	36697541	0.0112	0.00	0.0770	.	2	364	33877	46618
DG	Chr1	17989769	17990126	0.0103	0.00	0.0730	.	2	357	33924	46610
DG	Chr1	17989769	17990126	0.0103	0.00	0.0730	.	2	357	33924	46610
DG	Chr5	23576636	23576930	0.0083	0.00	0.0638	.	2	294	33996	46613
D62	Chr1	2486530	2557426	0.9960	0.00	1.1549	.	41	70896	1	70811
D62	Chr1	2670996	2666050	0.0726	0.00	0.2034	.	13	-4946	33525	51348
D62	Chr1	41478102	41482044	0.0195	0.00	0.1205	.	2	3942	7346	8727
D62	Chr1	41478102	41482044	0.0195	0.00	0.1205	.	2	3942	7346	8727
D62	Chr5	29449888	29450372	0.0138	0.00	0.0886	.	2	484	33814	46623
D62	Chr5	29449888	29450372	0.0138	0.00	0.0886	.	2	484	33814	46623
D62	Chr3	9762722	9763175	0.0128	0.00	0.0848	.	2	453	33832	46610
D62	Chr2	15902822	15902687	0.0177	0.00	0.0829	.	3	-135	28553	41791
D62	Chr8	25871096	25871539	0.0124	0.00	0.0829	.	2	443	33861	46621
D62	Chr1	37101847	37102211	0.0112	0.00	0.0770	.	2	364	33877	46618
D62	Chr1	37101847	37102211	0.0112	0.00	0.0770	.	2	364	33877	46618
D62	Chr1	18028921	18029278	0.0103	0.00	0.0730	.	2	357	33924	46610
D62	Chr1	18028921	18029278	0.0103	0.00	0.0730	.	2	357	33924	46610
D62	Chr5	23554468	23554762	0.0083	0.00	0.0638	.	2	294	33996	46613
II32	Chr1	2615384	2686279	0.9960	0.00	1.1549	.	41	70895	1	70811
II32	Chr1	2799854	2794908	0.0726	0.00	0.2034	.	13	-4946	33525	51348
II32	Chr1	41576503	41580445	0.0195	0.00	0.1205	.	2	3942	7346	8727
II32	Chr1	41576503	41580445	0.0195	0.00	0.1205	.	2	3942	7346	8727
II32	Chr5	29651923	29652407	0.0138	0.00	0.0886	.	2	484	33814	46623
II32	Chr5	29651923	29652407	0.0138	0.00	0.0886	.	2	484	33814	46623
II32	Chr3	9789634	9790087	0.0128	0.00	0.0848	.	2	453	33832	46610
II32	Chr2	16022482	16022347	0.0177	0.00	0.0829	.	3	-135	28553	41791
II32	Chr8	25984514	25984957	0.0124	0.00	0.0829	.	2	443	33861	46621
II32	Chr1	37161834	37162198	0.0112	0.00	0.0770	.	2	364	33877	46618
II32	Chr1	37161834	37162198	0.0112	0.00	0.0770	.	2	364	33877	46618
II32	Chr1	18377037	18377394	0.0103	0.00	0.0730	.	2	357	33924	46610
II32	Chr1	18377037	18377394	0.0103	0.00	0.0730	.	2	357	33924	46610
II32	Chr5	23760150	23760444	0.0083	0.00	0.0638	.	2	294	33996	46613
R527	Chr1	2686111	2770368	1.0000	0.00	1.1557	.	41	84257	1	70811
R527	Chr1	2888325	2886701	0.0454	0.00	0.1746	.	12	-1624	33525	49419
R527	Chr1	41614920	41618862	0.0195	0.00	0.1205	.	2	3942	7346	8727
R527	Chr1	41614920	41618862	0.0195	0.00	0.1205	.	2	3942	7346	8727
R527	Chr5	29688433	29688917	0.0138	0.00	0.0886	.	2	484	33814	46623
R527	Chr5	29688433	29688917	0.0138	0.00	0.0886	.	2	484	33814	46623
R527	Chr3	9769258	9769711	0.0128	0.00	0.0848	.	2	453	33832	46610
R527	Chr2	16064447	16064312	0.0177	0.00	0.0829	.	3	-135	28553	41791
R527	Chr8	25971554	25971997	0.0124	0.00	0.0829	.	2	443	33861	46621
R527	Chr1	37237322	37237686	0.0112	0.00	0.0770	.	2	364	33877	46618
R527	Chr1	37237322	37237686	0.0112	0.00	0.0770	.	2	364	33877	46618
R527	Chr1	18091112	18091469	0.0103	0.00	0.0730	.	2	357	33924	46610
R527	Chr1	18091112	18091469	0.0103	0.00	0.0730	.	2	357	33924	46610
R527	Chr5	23726998	23727292	0.0083	0.00	0.0638	.	2	294	33996	46613
R527	Chr5	23726998	23727292	0.0083	0.00	0.0638	.	2	294	33996	46613
S548	Chr1	2693987	2778248	1.0000	0.00	1.1557	.	41	84261	1	70811
S548	Chr1	2896206	2894582	0.0454	0.00	0.1746	.	12	-1624	33525	49419
S548	Chr1	41304382	41308324	0.0195	0.00	0.1205	.	2	3942	7346	8727
S548	Chr1	41304382	41308324	0.0195	0.00	0.1205	.	2	3942	7346	8727
S548	Chr5	29911402	29911886	0.0138	0.00	0.0886	.	2	484	33814	46623
S548	Chr5	29911402	29911886	0.0138	0.00	0.0886	.	2	484	33814	46623
S548	Chr3	9776467	9776920	0.0128	0.00	0.0848	.	2	453	33832	46610
S548	Chr2	15887934	15887799	0.0177	0.00	0.0829	.	3	-135	28553	41791
S548	Chr8	25923287	25923730	0.0124	0.00	0.0829	.	2	443	33861	46621
S548	Chr1	36917773	36918137	0.0112	0.00	0.0770	.	2	364	33877	46618
S548	Chr1	36917773	36918137	0.0112	0.00	0.0770	.	2	364	33877	46618
S548	Chr1	18220323	18220680	0.0103	0.00	0.0730	.	2	357	33924	46610
S548	Chr1	18220323	18220680	0.0103	0.00	0.0730	.	2	357	33924	46610
S548	Chr5	23950103	23950397	0.0083	0.00	0.0638	.	2	294	33996	46613
S548	Chr5	23950103	23950397	0.0083	0.00	0.0638	.	2	294	33996	46613
9311	Chr1	2684154	2768384	1.0000	0.00	1.1556	.	41	84230	1	70811
