genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
Oru	Chr3	33771547	33823029	0.5900	0.00	0.5482	.	15	51482	1	93939
Oru	Chr3	33771547	33823029	0.5900	0.00	0.5482	.	15	51482	1	93939
Oru	Chr7	18177300	18184777	0.0569	0.00	0.0555	.	2	7477	31033	37720
Oru	Chr7	18177300	18184777	0.0569	0.00	0.0555	.	2	7477	31033	37720
Oru	Chr5	15226145	15231446	0.0549	0.00	0.0527	.	3	5301	31033	37672
Oru	Chr5	15226145	15231446	0.0549	0.00	0.0527	.	3	5301	31033	37672
Oru	Chr8	16948542	16950543	0.0149	0.00	0.0142	.	5	2001	36466	37864
Oru	Chr5	13384998	13386002	0.0098	0.00	0.0090	.	2	1004	36029	37370
Oni	3	38758661	38807186	0.5818	0.00	0.5489	.	8	48525	1	93939
Oni	3	38758661	38807186	0.5818	0.00	0.5489	.	8	48525	1	93939
Oni	11	20033798	20043281	0.1097	0.00	0.0988	.	2	9483	29755	40055
Oni	11	20033798	20043281	0.1097	0.00	0.0988	.	2	9483	29755	40055
Oni	5	22699540	22883664	0.1019	0.00	0.0930	.	3	184124	31058	58069
Oni	5	22699540	22883664	0.1019	0.00	0.0930	.	3	184124	31058	58069
Oni	11	22915729	23084506	0.0976	0.00	0.0871	.	3	168777	31033	76738
Oni	11	22915729	23084506	0.0976	0.00	0.0871	.	3	168777	31033	76738
Oni	8	24324144	24394312	0.0961	0.00	0.0865	.	2	70168	31024	58332
Oni	8	24324144	24394312	0.0961	0.00	0.0865	.	2	70168	31024	58332
Oni	11	4866155	4876825	0.0908	0.00	0.0832	.	2	10670	31037	39562
Oni	11	4866155	4876825	0.0908	0.00	0.0832	.	2	10670	31037	39562
Oni	4	13540232	13547701	0.0795	0.00	0.0740	.	2	7469	30935	38432
Oni	4	13540232	13547701	0.0795	0.00	0.0740	.	2	7469	30935	38432
Oni	5	23461492	23728526	0.0293	0.00	0.0264	.	2	267034	56720	85787
Oni	1	825538	995455	0.0283	0.00	0.0255	.	3	169917	75655	86443
Oni	1	825538	995455	0.0283	0.00	0.0255	.	3	169917	75655	86443
Oni	6	17815629	18042269	0.0257	0.00	0.0231	.	2	226640	60163	76738
Oni	2	11514685	11821280	0.0223	0.00	0.0201	.	3	306595	56566	76742
Oni	1	15057337	15125220	0.0191	0.00	0.0173	.	4	67883	50383	76742
Oni	1	14702084	15125220	0.0191	0.00	0.0172	.	6	423136	50383	76742
Oni	4	21635135	21836384	0.0145	0.00	0.0132	.	2	201249	26041	76738
Oni	7	28560660	28677517	0.0141	0.00	0.0127	.	4	116857	84870	86198
Oni	7	28560660	28677517	0.0141	0.00	0.0127	.	4	116857	84870	86198
Oni	7	28560660	28677517	0.0141	0.00	0.0127	.	4	116857	84870	86198
Oni	4	27399320	27424217	0.0118	0.00	0.0106	.	2	24897	75654	76759
Oni	4	27399320	27424217	0.0118	0.00	0.0106	.	2	24897	75654	76759
Oni	5	26691128	26704136	0.0118	0.00	0.0106	.	2	13008	75654	76758
Oni	5	26691128	26704136	0.0118	0.00	0.0106	.	2	13008	75654	76758
Oni	9	18572829	18704110	0.0117	0.00	0.0105	.	5	131281	75642	76742
Oni	9	18572829	18704110	0.0117	0.00	0.0105	.	5	131281	75642	76742
Oni	9	18572829	18704110	0.0117	0.00	0.0105	.	5	131281	75642	76742
Oni	3	4943183	5042146	0.0117	0.00	0.0105	.	3	98963	75655	76753
Oni	3	4943183	5042146	0.0117	0.00	0.0105	.	3	98963	75655	76753
Oni	2	12303881	12331728	0.0117	0.00	0.0105	.	2	27847	75648	76742
Oni	2	12303881	12331728	0.0117	0.00	0.0105	.	2	27847	75648	76742
Oni	2	783281	796200	0.0116	0.00	0.0105	.	2	12919	75649	76742
Oni	3	1878739	2117903	0.0116	0.00	0.0105	.	3	239164	75654	76746
Oni	5	7405587	7430271	0.0116	0.00	0.0105	.	2	24684	75651	76742
Oni	7	21013450	21359851	0.0116	0.00	0.0105	.	3	346401	75651	76742
Oni	11	28873162	28945616	0.0116	0.00	0.0105	.	2	72454	75652	76742
Oni	1	35730181	35746185	0.0116	0.00	0.0105	.	2	16004	75652	76742
Oni	1	35730181	35746185	0.0116	0.00	0.0105	.	2	16004	75652	76742
Oni	5	25246795	25259762	0.0116	0.00	0.0105	.	2	12967	75652	76742
Oni	4	19306961	19735952	0.0116	0.00	0.0105	.	3	428991	75652	76742
Oni	6	17080358	17108436	0.0116	0.00	0.0105	.	2	28078	75652	76742
Oni	6	17080358	17108436	0.0116	0.00	0.0105	.	2	28078	75652	76742
