genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
Obr	11	17078854	17119956	0.3800	0.00	0.4324	.	9	41102	10165	29207
Oru	Chr11	26868779	26950434	0.9636	0.00	1.0188	.	4	81655	1	29232
Oru	Chr6	19914639	19940292	0.0845	0.00	0.0899	.	8	25653	1	3277
Oba	11	26470509	26487986	0.5241	0.00	0.5802	.	4	17477	11297	29232
Oba	11	26470509	26487986	0.5241	0.00	0.5802	.	4	17477	11297	29232
Oba	6	21181993	21186963	0.0864	0.00	0.0933	.	8	4970	1	3347
Ogla	11	25779153	25824296	0.8179	0.00	0.8678	.	19	45143	408	29232
Ogla	6	21539358	21544246	0.0773	0.00	0.0846	.	7	4888	1	3347
Ome	11	28070554	28092173	0.4832	0.00	0.5271	.	3	21619	11297	29232
Oglu	11	30347176	30437271	0.8586	0.00	0.8984	.	16	90095	1	29232
Oglu	11	30420846	30437271	0.5021	0.00	0.5174	.	3	16425	14557	29232
Oglu	6	24421128	24424331	0.0770	0.00	0.0863	.	5	3203	1	3170
Oglu	6	24376389	24424331	0.0786	0.00	0.0820	.	10	47942	1	3170
Oni	11	31400888	31458066	0.9793	0.00	0.9947	.	11	57178	1	29232
Oni	6	23420983	23478042	0.0845	0.00	0.0894	.	8	57059	1	3277
Oni	6	23469199	23478042	0.0750	0.00	0.0820	.	6	8843	1	3277
Opu	11	30972047	30998704	0.5999	0.00	0.6695	.	11	26657	4230	29232
Opu	11	30972047	30998704	0.5999	0.00	0.6695	.	11	26657	4230	29232
Opu	11	30846216	30850328	0.0486	0.00	0.0544	.	4	4112	1	2595
Oau	Chr11	59746543	59777953	0.3804	0.00	0.4067	.	5	31410	16241	29232
