genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
Obr	8	1829270	1855527	0.1302	0.00	0.3215	.	14	26257	26748	88249
Obr	8	1829270	1855527	0.1302	0.00	0.3215	.	14	26257	26748	88249
Obr	8	7884809	7881929	0.0171	0.00	0.0427	.	3	-2880	72164	74938
Obr	8	7884809	7881929	0.0171	0.00	0.0427	.	3	-2880	72164	74938
Ogla	8	2270461	2351538	0.4689	0.00	0.6812	.	11	81077	5052	88249
Ogla	12	19538960	19384364	0.1980	0.00	0.3554	.	3	-154596	9001	51187
Ogla	12	14119859	13882124	0.1803	0.00	0.3371	.	6	-237735	9499	51026
Ogla	7	16888377	17016189	0.1764	0.00	0.3367	.	4	127812	9499	51187
Ogla	3	13898685	13719136	0.1778	0.00	0.3360	.	4	-179549	8897	51187
Ogla	12	13729434	13882124	0.1803	0.00	0.3351	.	7	152690	9499	51026
Ogla	12	13820920	13882124	0.1745	0.00	0.3324	.	5	61204	10005	51026
Ogla	5	8325655	8278596	0.1558	0.00	0.3198	.	4	-47059	9499	51187
Ogla	5	8325655	8278596	0.1558	0.00	0.3198	.	4	-47059	9499	51187
Ogla	5	8325655	8278596	0.1558	0.00	0.3198	.	4	-47059	9499	51187
Ogla	9	1055010	855838	0.1021	0.00	0.3183	.	4	-199172	9010	80511
Ogla	12	14119859	14214612	0.0666	0.00	0.2853	.	2	94753	9499	80891
Ogla	2	10253919	10457590	0.1151	0.00	0.2758	.	3	203671	10561	51010
Ogla	11	15563579	15410105	0.1143	0.00	0.2658	.	4	-153474	9496	43735
Ogla	6	8268626	8236453	0.0887	0.00	0.2512	.	3	-32173	9499	51015
Ogla	6	8268626	8236453	0.0887	0.00	0.2512	.	3	-32173	9499	51015
Ogla	9	9141733	8969934	0.1279	0.00	0.2395	.	4	-171799	9004	23383
Ogla	3	13898685	13909116	0.1155	0.00	0.2328	.	2	10431	8897	19517
Ogla	5	6890226	6900816	0.1115	0.00	0.2290	.	2	10590	8979	19785
Ogla	5	6890226	6900816	0.1115	0.00	0.2290	.	2	10590	8979	19785
Ogla	8	5645242	5656247	0.1109	0.00	0.2289	.	2	11005	8886	19783
Ogla	8	5645242	5656247	0.1109	0.00	0.2289	.	2	11005	8886	19783
Ogla	8	13402422	13413291	0.1076	0.00	0.2252	.	2	10869	8907	19562
Ogla	8	13402422	13413291	0.1076	0.00	0.2252	.	2	10869	8907	19562
Ogla	2	5645880	5576714	0.1145	0.00	0.2224	.	5	-69166	8979	19497
Ogla	12	5660113	5658650	0.1037	0.00	0.2218	.	2	-1463	8887	19661
Ogla	6	26441067	26439662	0.1030	0.00	0.2211	.	2	-1405	8909	19615
Ogla	6	26441067	26439662	0.1030	0.00	0.2211	.	2	-1405	8909	19615
Ogla	1	22833375	22843926	0.1036	0.00	0.2209	.	2	10551	8887	19663
Ogla	1	22833375	22843926	0.1036	0.00	0.2209	.	2	10551	8887	19663
Ogla	9	9141733	9140186	0.1020	0.00	0.2193	.	2	-1547	9004	19628
Ogla	6	22072575	22083229	0.1012	0.00	0.2190	.	2	10654	8887	19456
Ogla	6	22072575	22083229	0.1012	0.00	0.2190	.	2	10654	8887	19456
Ogla	12	24921641	24931957	0.1014	0.00	0.2183	.	2	10316	8804	19561
Ogla	12	24921641	24931957	0.1014	0.00	0.2183	.	2	10316	8804	19561
Ogla	11	25266741	25265092	0.0997	0.00	0.2174	.	2	-1649	8979	19562
Ogla	11	25266741	25265092	0.0997	0.00	0.2174	.	2	-1649	8979	19562
Ogla	8	12519101	12529336	0.1004	0.00	0.2171	.	2	10235	8979	19647
Ogla	8	12519101	12529336	0.1004	0.00	0.2171	.	2	10235	8979	19647
Ogla	11	5576563	5606761	0.1080	0.00	0.2168	.	7	30198	8974	19614
Ogla	11	5576563	5606761	0.1080	0.00	0.2168	.	7	30198	8974	19614
Ogla	5	20667491	20678352	0.0986	0.00	0.2166	.	2	10861	8807	19562
Ogla	5	20667491	20678352	0.0986	0.00	0.2166	.	2	10861	8807	19562
Ogla	7	15098891	14937747	0.1091	0.00	0.2166	.	8	-161144	8887	19629
Ogla	9	7869305	7879525	0.0995	0.00	0.2165	.	2	10220	8979	19399
Ogla	7	14915014	14937747	0.1031	0.00	0.2164	.	4	22733	8974	19629
Ogla	10	6134509	6148621	0.1060	0.00	0.2161	.	5	14112	8804	19782
Ogla	10	6134509	6148621	0.1060	0.00	0.2161	.	5	14112	8804	19782
Ogla	8	4248863	4246618	0.0985	0.00	0.2160	.	2	-2245	8887	19627
Ogla	8	4248863	4246618	0.0985	0.00	0.2160	.	2	-2245	8887	19627
Ogla	7	15098891	15154619	0.1084	0.00	0.2156	.	4	55728	8887	19561
Ogla	7	14915014	14937747	0.1081	0.00	0.2156	.	6	22733	8974	19629
Ogla	6	16351273	16349657	0.0984	0.00	0.2151	.	2	-1616	9499	19661
Ogla	6	16351273	16349657	0.0984	0.00	0.2151	.	2	-1616	9499	19661
Ogla	10	557793	381616	0.1059	0.00	0.2150	.	5	-176177	8806	19663
Ogla	5	15048072	15219737	0.1060	0.00	0.2147	.	6	171665	8807	19783
Ogla	5	15209743	15219737	0.0980	0.00	0.2146	.	2	9994	9499	19783
Ogla	6	8586322	8582639	0.1051	0.00	0.2143	.	4	-3683	8887	19781
Ogla	11	13565735	13576473	0.0967	0.00	0.2142	.	2	10738	8977	19559
Ogla	2	17982997	17992822	0.0978	0.00	0.2141	.	2	9825	9499	19780
Ogla	6	8586322	8664986	0.1051	0.00	0.2131	.	6	78664	8887	19781
Ogla	10	557793	568163	0.1033	0.00	0.2130	.	4	10370	8806	19436
Ogla	11	15563579	15572566	0.0971	0.00	0.2126	.	3	8987	9496	19781
Ogla	2	27039765	27039768	0.0984	0.00	0.2122	.	2	3	42221	51187
Ogla	2	27039765	27039768	0.0984	0.00	0.2122	.	2	3	42221	51187
Ogla	11	4205240	4203799	0.0954	0.00	0.2122	.	2	-1441	8887	19518
Ogla	11	4205240	4203799	0.0954	0.00	0.2122	.	2	-1441	8887	19518
Ogla	12	19538960	19536625	0.0964	0.00	0.2121	.	2	-2335	9001	19626
Ogla	5	15048072	15045058	0.1029	0.00	0.2119	.	4	-3014	8807	19509
Ogla	5	15048072	15045058	0.1029	0.00	0.2119	.	4	-3014	8807	19509
Ogla	12	5660113	5658650	0.1039	0.00	0.2118	.	3	-1463	8887	19661
Ogla	9	21109137	21107397	0.0951	0.00	0.2115	.	2	-1740	9499	19484
Ogla	2	26695184	26707298	0.1016	0.00	0.2114	.	2	12114	42221	51187
Ogla	2	26695184	26707298	0.1016	0.00	0.2114	.	2	12114	42221	51187
Ogla	1	37183263	37181629	0.0952	0.00	0.2112	.	2	-1634	9499	19551
Ogla	1	37183263	37181629	0.0952	0.00	0.2112	.	2	-1634	9499	19551
Ogla	4	2689754	2700558	0.0942	0.00	0.2108	.	2	10804	9280	19647
Ogla	4	2689754	2700558	0.0942	0.00	0.2108	.	2	10804	9280	19647
Ogla	6	2930642	2926774	0.0963	0.00	0.2106	.	3	-3868	8871	19457
Ogla	6	2930642	2926774	0.0963	0.00	0.2106	.	3	-3868	8871	19457
Ogla	2	13658010	13653520	0.0997	0.00	0.2106	.	4	-4490	8982	19647
Ogla	2	13658010	13653520	0.0997	0.00	0.2106	.	4	-4490	8982	19647
Ogla	12	17767212	17721774	0.1003	0.00	0.2106	.	4	-45438	8806	19704
Ogla	12	17767212	17721774	0.1003	0.00	0.2106	.	4	-45438	8806	19704
Ogla	6	8667285	8664986	0.0935	0.00	0.2105	.	2	-2299	9019	19387
Ogla	1	17655945	17652249	0.0960	0.00	0.2099	.	3	-3696	9499	19780
Ogla	4	27071469	27081606	0.0924	0.00	0.2097	.	2	10137	9499	19704
Ogla	4	27071469	27081606	0.0924	0.00	0.2097	.	2	10137	9499	19704
Ogla	11	12756617	12755283	0.0945	0.00	0.2094	.	2	-1334	9499	19485
Ogla	11	12756617	12755283	0.0945	0.00	0.2094	.	2	-1334	9499	19485
Ogla	12	22824138	22822517	0.0939	0.00	0.2093	.	2	-1621	9499	19425
Ogla	6	13951335	13961503	0.0926	0.00	0.2092	.	2	10168	9499	19494
Ogla	6	13951335	13961503	0.0926	0.00	0.2092	.	2	10168	9499	19494
Ogla	1	11401746	11397767	0.0973	0.00	0.2091	.	3	-3979	9499	19781
Ogla	1	11401746	11397767	0.0973	0.00	0.2091	.	3	-3979	9499	19781
Ogla	6	21847779	21845328	0.0933	0.00	0.2091	.	2	-2451	9499	19780
Ogla	6	21847779	21845328	0.0933	0.00	0.2091	.	2	-2451	9499	19780
Ogla	10	12194684	12204648	0.0921	0.00	0.2089	.	3	9964	9499	19704
Ogla	10	12194684	12204648	0.0921	0.00	0.2089	.	3	9964	9499	19704
Ogla	4	3819318	3829306	0.0920	0.00	0.2088	.	2	9988	9499	19562
Ogla	4	3819318	3829306	0.0920	0.00	0.2088	.	2	9988	9499	19562
Ogla	3	30427434	30425766	0.0919	0.00	0.2086	.	2	-1668	9499	19663
Ogla	3	30427434	30425766	0.0919	0.00	0.2086	.	2	-1668	9499	19663
Ogla	4	18243616	18253547	0.0919	0.00	0.2086	.	2	9931	9499	19663
Ogla	4	18243616	18253547	0.0919	0.00	0.2086	.	2	9931	9499	19663
Ogla	1	24333980	24344945	0.0928	0.00	0.2085	.	2	10965	9499	19741
Ogla	1	24333980	24344945	0.0928	0.00	0.2085	.	2	10965	9499	19741
Ogla	9	14154071	14151993	0.0915	0.00	0.2083	.	2	-2078	9499	19622
Ogla	9	14154071	14151993	0.0915	0.00	0.2083	.	2	-2078	9499	19622
Ogla	6	7322576	7349369	0.0987	0.00	0.2081	.	4	26793	8979	19781
Ogla	6	7322576	7349369	0.0987	0.00	0.2081	.	4	26793	8979	19781
Ogla	2	17982997	17756704	0.0978	0.00	0.2079	.	3	-226293	9499	19780
Ogla	11	23659495	23658144	0.0900	0.00	0.2079	.	2	-1351	8979	19780
Ogla	11	23659495	23658144	0.0900	0.00	0.2079	.	2	-1351	8979	19780
Ogla	6	23395428	23405890	0.0915	0.00	0.2078	.	2	10462	9499	19622
Ogla	6	23395428	23405890	0.0915	0.00	0.2078	.	2	10462	9499	19622
Ogla	7	16888377	16886256	0.0906	0.00	0.2075	.	2	-2121	9499	19541
Ogla	12	12496200	12490536	0.0940	0.00	0.2072	.	2	-5664	8979	19422
Ogla	12	12496200	12490536	0.0940	0.00	0.2072	.	2	-5664	8979	19422
Ogla	6	7322576	7517950	0.0987	0.00	0.2071	.	6	195374	8979	19781
Ogla	6	17326870	17325183	0.0908	0.00	0.2071	.	2	-1687	9499	19562
Ogla	6	17326870	17325183	0.0908	0.00	0.2071	.	2	-1687	9499	19562
Ogla	12	13729434	13728177	0.0915	0.00	0.2069	.	2	-1257	9499	19627
Ogla	7	14726343	14735802	0.0910	0.00	0.2069	.	2	9459	10185	19625
Ogla	4	11263023	11259423	0.0980	0.00	0.2066	.	8	-3600	8979	19781
Ogla	2	30705073	30705079	0.0927	0.00	0.2062	.	2	6	42221	51187
Ogla	2	30705073	30705079	0.0927	0.00	0.2062	.	2	6	42221	51187
Ogla	8	16491027	16488720	0.0895	0.00	0.2058	.	2	-2307	9499	19450
Ogla	12	22824138	22922927	0.0979	0.00	0.2056	.	4	98789	9499	19782
Ogla	12	8626934	8637836	0.0903	0.00	0.2055	.	2	10902	9503	19562
Ogla	12	8626934	8637836	0.0903	0.00	0.2055	.	2	10902	9503	19562
Ogla	1	16539626	16537340	0.0890	0.00	0.2054	.	2	-2286	9499	19399
Ogla	1	16539626	16537340	0.0890	0.00	0.2054	.	2	-2286	9499	19399
Ogla	10	3989636	3984447	0.0933	0.00	0.2052	.	3	-5189	9499	19780
Ogla	10	3989636	3984447	0.0933	0.00	0.2052	.	3	-5189	9499	19780
Ogla	7	7329934	7339617	0.0889	0.00	0.2051	.	2	9683	9499	19393
Ogla	7	7329934	7339617	0.0889	0.00	0.2051	.	2	9683	9499	19393
Ogla	7	15686537	15696134	0.0886	0.00	0.2049	.	3	9597	9499	19435
Ogla	7	15686537	15696134	0.0886	0.00	0.2049	.	3	9597	9499	19435
Ogla	11	13565735	13576473	0.0967	0.00	0.2049	.	3	10738	8977	19559
Ogla	3	17799367	17808676	0.0950	0.00	0.2048	.	4	9309	8804	19562
Ogla	1	17496061	17652249	0.0960	0.00	0.2047	.	5	156188	9499	19780
Ogla	1	33626973	33625118	0.0887	0.00	0.2046	.	2	-1855	9499	19379
Ogla	1	33626973	33625118	0.0887	0.00	0.2046	.	2	-1855	9499	19379
Ogla	8	14242557	14241761	0.0903	0.00	0.2046	.	2	-796	9499	19622
Ogla	8	14242557	14241761	0.0903	0.00	0.2046	.	2	-796	9499	19622
Ogla	12	24173946	24187130	0.0915	0.00	0.2043	.	3	13184	9499	19626
Ogla	12	24173946	24187130	0.0915	0.00	0.2043	.	3	13184	9499	19626
Ogla	5	9715530	9697597	0.0947	0.00	0.2042	.	3	-17933	9499	19663
Ogla	5	9715530	9697597	0.0947	0.00	0.2042	.	3	-17933	9499	19663
Ogla	3	15231588	15229888	0.0883	0.00	0.2041	.	2	-1700	9499	19450
Ogla	10	13723324	13730920	0.0949	0.00	0.2039	.	4	7596	9499	19704
Ogla	10	13723324	13730920	0.0949	0.00	0.2039	.	4	7596	9499	19704
Ogla	10	13723324	13730920	0.0949	0.00	0.2039	.	4	7596	9499	19704
Ogla	1	16272334	16269121	0.0919	0.00	0.2039	.	3	-3213	9499	19499
Ogla	1	16272334	16269121	0.0919	0.00	0.2039	.	3	-3213	9499	19499
Ogla	8	8882812	8935939	0.0925	0.00	0.2035	.	3	53127	9499	19709
Ogla	8	8882812	8935939	0.0925	0.00	0.2035	.	3	53127	9499	19709
Ogla	4	11332197	11342337	0.0864	0.00	0.2035	.	2	10140	9499	19781
Ogla	3	17799367	17808676	0.0885	0.00	0.2035	.	3	9309	8804	19562
Ogla	10	3215786	3214077	0.0871	0.00	0.2032	.	2	-1709	9499	19503
Ogla	10	3215786	3214077	0.0871	0.00	0.2032	.	2	-1709	9499	19503
Ogla	12	9020177	9026270	0.0933	0.00	0.2030	.	4	6093	9499	19780
Ogla	12	9020177	9026270	0.0933	0.00	0.2030	.	4	6093	9499	19780
Ogla	6	7522696	7517950	0.0892	0.00	0.2026	.	2	-4746	9499	19780
Ogla	12	14439684	14447731	0.0963	0.00	0.2024	.	5	8047	9499	19647
Ogla	12	14439684	14447731	0.0963	0.00	0.2024	.	5	8047	9499	19647
Ogla	5	5901322	5895520	0.0882	0.00	0.2022	.	2	-5802	8982	19647
Ogla	3	14359761	14354811	0.0869	0.00	0.2022	.	3	-4950	8894	19778
Ogla	3	14359761	14354811	0.0869	0.00	0.2022	.	3	-4950	8894	19778
Ogla	12	18340234	18354005	0.0901	0.00	0.2021	.	2	13771	9499	19503
Ogla	12	18340234	18354005	0.0901	0.00	0.2021	.	2	13771	9499	19503
Ogla	6	17682844	17792012	0.0933	0.00	0.2015	.	4	109168	9499	19780
Ogla	6	17682844	17792012	0.0933	0.00	0.2015	.	4	109168	9499	19780
Ogla	9	1055010	1065573	0.0838	0.00	0.2015	.	3	10563	9010	19562
Ogla	4	11546346	11543750	0.0852	0.00	0.2009	.	2	-2596	9499	19551
Ogla	4	11546346	11543750	0.0852	0.00	0.2009	.	2	-2596	9499	19551
Ogla	1	19435815	19449385	0.0919	0.00	0.2007	.	4	13570	9499	19663
Ogla	1	19435815	19449385	0.0919	0.00	0.2007	.	4	13570	9499	19663
Ogla	1	17344991	17493910	0.0893	0.00	0.2005	.	3	148919	9499	19701
Ogla	8	16338663	16488720	0.0895	0.00	0.2003	.	3	150057	9499	19450
Ogla	10	7317362	7310001	0.0911	0.00	0.2001	.	4	-7361	9499	19780
Ogla	10	7317362	7310001	0.0911	0.00	0.2001	.	4	-7361	9499	19780
Ogla	7	17016196	17016189	0.0859	0.00	0.1999	.	2	-7	42221	51187
Ogla	5	15975342	15972282	0.0847	0.00	0.1997	.	2	-3060	9499	19625
Ogla	5	15975342	15972282	0.0847	0.00	0.1997	.	2	-3060	9499	19625
Ogla	2	27618281	27611744	0.0891	0.00	0.1996	.	3	-6537	9499	19536
Ogla	2	27618281	27611744	0.0891	0.00	0.1996	.	3	-6537	9499	19536
Ogla	12	6075746	6072987	0.0832	0.00	0.1988	.	2	-2759	9499	18945
Ogla	12	6075746	6072987	0.0832	0.00	0.1988	.	2	-2759	9499	18945
Ogla	6	9367373	9256642	0.0884	0.00	0.1985	.	3	-110731	9901	19494
Ogla	8	15626511	15636505	0.0811	0.00	0.1980	.	2	9994	9499	19624
Ogla	8	15626511	15636505	0.0811	0.00	0.1980	.	2	9994	9499	19624
Ogla	12	9751917	9767227	0.0864	0.00	0.1978	.	3	15310	9499	19462
Ogla	12	9751917	9767227	0.0864	0.00	0.1978	.	3	15310	9499	19462
Ogla	10	1280595	1289938	0.0807	0.00	0.1977	.	4	9343	8977	19704
Ogla	10	1280595	1289938	0.0807	0.00	0.1977	.	4	9343	8977	19704
Ogla	5	5901322	5895520	0.0882	0.00	0.1975	.	3	-5802	8982	19647
Ogla	3	15231588	15229888	0.0883	0.00	0.1964	.	3	-1700	9499	19450
Ogla	12	12193214	12191076	0.0820	0.00	0.1963	.	2	-2138	9499	18787
Ogla	12	12193214	12191076	0.0820	0.00	0.1963	.	2	-2138	9499	18787
Ogla	1	14815926	14812028	0.0865	0.00	0.1953	.	2	-3898	9499	19785
Ogla	1	14815926	14812028	0.0865	0.00	0.1953	.	2	-3898	9499	19785
Ogla	2	10450145	10457590	0.0844	0.00	0.1951	.	2	7445	42745	51010
Ogla	6	9367373	9366153	0.0801	0.00	0.1939	.	2	-1220	9901	18759
Ogla	4	12706151	12720303	0.0831	0.00	0.1935	.	3	14152	9499	18949
Ogla	4	12706151	12720303	0.0831	0.00	0.1935	.	3	14152	9499	18949
Ogla	8	17182479	17190380	0.0793	0.00	0.1933	.	2	7901	8887	19562
Ogla	8	17182479	17190380	0.0793	0.00	0.1933	.	2	7901	8887	19562
Ogla	7	9736738	9746345	0.0768	0.00	0.1933	.	3	9607	9499	19562
Ogla	7	9736738	9746345	0.0768	0.00	0.1933	.	3	9607	9499	19562
Ogla	6	24287096	24349661	0.0821	0.00	0.1928	.	3	62565	9908	19617
Ogla	6	24287096	24349661	0.0821	0.00	0.1928	.	3	62565	9908	19617
Ogla	1	18488790	18488031	0.0806	0.00	0.1928	.	2	-759	8979	19490
Ogla	12	19870428	19863052	0.0803	0.00	0.1920	.	3	-7376	9499	19297
Ogla	12	19870428	19863052	0.0803	0.00	0.1920	.	3	-7376	9499	19297
Ogla	4	11263023	11259423	0.0804	0.00	0.1907	.	6	-3600	8979	19776
Ogla	9	5397294	5391260	0.0777	0.00	0.1904	.	2	-6034	9499	19665
Ogla	9	5397294	5391260	0.0777	0.00	0.1904	.	2	-6034	9499	19665
Ogla	11	8912687	8904855	0.0790	0.00	0.1901	.	3	-7832	9500	19178
Ogla	11	9035021	8904855	0.0790	0.00	0.1886	.	5	-130166	9499	19178
Ogla	2	29140881	29148499	0.0748	0.00	0.1886	.	2	7618	9499	19779
Ogla	2	29140881	29148499	0.0748	0.00	0.1886	.	2	7618	9499	19779
Ogla	4	22913098	22920761	0.0756	0.00	0.1884	.	2	7663	9499	19370
Ogla	9	2676587	2721290	0.0783	0.00	0.1875	.	4	44703	9499	18460
Ogla	9	2676587	2721290	0.0783	0.00	0.1875	.	4	44703	9499	18460
Ogla	12	7405568	7447183	0.0765	0.00	0.1862	.	4	41615	9498	19660
Ogla	12	7405568	7447183	0.0765	0.00	0.1862	.	4	41615	9498	19660
Ogla	11	23123372	23089068	0.0682	0.00	0.1859	.	2	-34304	8980	23383
Ogla	11	23123372	23089068	0.0682	0.00	0.1859	.	2	-34304	8980	23383
Ogla	11	19447559	19445368	0.0737	0.00	0.1857	.	2	-2191	9499	18055
Ogla	11	19447559	19445368	0.0737	0.00	0.1857	.	2	-2191	9499	18055
Ogla	2	6158495	6175308	0.0728	0.00	0.1855	.	2	16813	9499	19780
Ogla	2	6158495	6175308	0.0728	0.00	0.1855	.	2	16813	9499	19780
Ogla	10	4496170	4445435	0.0752	0.00	0.1844	.	4	-50735	9499	18466
Ogla	10	4496170	4445435	0.0752	0.00	0.1844	.	4	-50735	9499	18466
Ogla	8	7149455	7157963	0.0702	0.00	0.1838	.	2	8508	11389	19704
Ogla	8	7149455	7157963	0.0702	0.00	0.1838	.	2	8508	11389	19704
Ogla	6	20794390	20802496	0.0687	0.00	0.1831	.	2	8106	9499	19626
Ogla	6	20794390	20802496	0.0687	0.00	0.1831	.	2	8106	9499	19626
Ogla	10	4496170	4445435	0.0738	0.00	0.1823	.	4	-50735	9499	18466
Ogla	10	6969675	7056542	0.0638	0.00	0.1820	.	3	86867	9499	23383
Ogla	6	19129833	19113798	0.0710	0.00	0.1817	.	4	-16035	9005	19342
Ogla	6	19129833	19113798	0.0710	0.00	0.1817	.	4	-16035	9005	19342
Ogla	6	19129833	19113798	0.0710	0.00	0.1817	.	4	-16035	9005	19342
Ogla	1	9377185	9607101	0.0730	0.00	0.1813	.	3	229916	8974	17426
Ogla	7	21214755	21222492	0.0675	0.00	0.1803	.	2	7737	11553	19562
Ogla	7	21214755	21222492	0.0675	0.00	0.1803	.	2	7737	11553	19562
Ogla	7	6274715	6282228	0.0687	0.00	0.1800	.	4	7513	9499	19780
Ogla	12	24522701	24530756	0.0662	0.00	0.1800	.	2	8055	9499	19626
Ogla	12	24522701	24530756	0.0662	0.00	0.1800	.	2	8055	9499	19626
Ogla	12	4454548	4460737	0.0695	0.00	0.1799	.	2	6189	9028	16895
Ogla	12	4454548	4460737	0.0695	0.00	0.1799	.	2	6189	9028	16895
Ogla	11	6331375	6338954	0.0659	0.00	0.1789	.	3	7579	11323	19457
Ogla	11	6331375	6338954	0.0659	0.00	0.1789	.	3	7579	11323	19457
Ogla	5	13435891	13444806	0.0627	0.00	0.1786	.	3	8915	9499	19629
Ogla	5	13435891	13444806	0.0627	0.00	0.1786	.	3	8915	9499	19629
Ogla	9	7572926	7582192	0.0625	0.00	0.1782	.	2	9266	9496	19562
Ogla	9	7572926	7582192	0.0625	0.00	0.1782	.	2	9266	9496	19562
Ogla	5	13862956	13862530	0.0669	0.00	0.1781	.	2	-426	9499	19378
Ogla	8	13105366	13105357	0.0696	0.00	0.1780	.	2	-9	42745	51073
Ogla	8	13105366	13105357	0.0696	0.00	0.1780	.	2	-9	42745	51073
Ogla	5	12988854	12999168	0.0615	0.00	0.1774	.	2	10314	9797	19663
Ogla	5	12988854	12999168	0.0615	0.00	0.1774	.	2	10314	9797	19663
