genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
R527	Chr8	2895224	2925700	0.3950	0.00	0.6014	.	22	30476	8887	88249
R527	Chr8	2895224	2925700	0.3950	0.00	0.6014	.	22	30476	8887	88249
R527	Chr11	4978244	4958987	0.2251	0.00	0.3804	.	4	-19257	8887	51187
R527	Chr11	4978244	4958987	0.2251	0.00	0.3804	.	4	-19257	8887	51187
R527	Chr1	19973891	20003037	0.2125	0.00	0.3776	.	4	29146	8887	51059
R527	Chr9	8616691	8604681	0.2148	0.00	0.3709	.	6	-12010	8886	51187
R527	Chr1	20453534	20427394	0.2135	0.00	0.3677	.	5	-26140	9002	51010
R527	Chr1	20453534	20427394	0.2135	0.00	0.3677	.	5	-26140	9002	51010
R527	Chr1	20453534	20427394	0.2135	0.00	0.3677	.	5	-26140	9002	51010
R527	Chr1	10608287	10536802	0.2154	0.00	0.3675	.	7	-71485	8892	51010
R527	Chr9	8616691	8604681	0.2148	0.00	0.3675	.	7	-12010	8886	51187
R527	Chr10	11377194	11516304	0.2136	0.00	0.3663	.	8	139110	8887	51010
R527	Chr10	11377194	11516304	0.2136	0.00	0.3663	.	8	139110	8887	51010
R527	Chr1	10608287	10536802	0.2154	0.00	0.3654	.	9	-71485	8892	51010
R527	Chr1	19973891	20003037	0.2125	0.00	0.3651	.	6	29146	8887	51059
R527	Chr8	8050366	8101455	0.1960	0.00	0.3604	.	4	51089	8909	51010
R527	Chr8	8050366	8101455	0.1960	0.00	0.3604	.	4	51089	8909	51010
R527	Chr9	23852908	24105498	0.1994	0.00	0.3585	.	5	252590	8886	51010
R527	Chr11	11055407	11019573	0.2033	0.00	0.3572	.	4	-35834	8887	51010
R527	Chr11	11055407	11019573	0.2033	0.00	0.3572	.	4	-35834	8887	51010
R527	Chr1	23612871	23714279	0.1939	0.00	0.3556	.	4	101408	8887	51010
R527	Chr1	23612871	23714279	0.1939	0.00	0.3556	.	4	101408	8887	51010
R527	Chr1	29556571	29456603	0.2015	0.00	0.3553	.	5	-99968	8887	51010
R527	Chr1	29556571	29456603	0.2015	0.00	0.3553	.	5	-99968	8887	51010
R527	Chr11	22329537	22174137	0.1932	0.00	0.3550	.	5	-155400	8979	51010
R527	Chr4	4915713	4890303	0.1835	0.00	0.3509	.	4	-25410	8887	51010
R527	Chr4	4915713	4890303	0.1835	0.00	0.3509	.	4	-25410	8887	51010
R527	Chr9	25001336	24862137	0.1894	0.00	0.3507	.	4	-139199	8887	51010
