# Best collinear region per genome
# (regions.csv format, ready for pyGeSyn plot)
MSU,Chr1,2640645,2711455
G46,Chr1,2615438,2686318
CN1,Chr1,2463489,2536213
FS32,Chr1,2629250,2700169
DG,Chr1,2479623,2550523
D62,Chr1,2486530,2557426
II32,Chr1,2615384,2686279
R527,Chr1,2686111,2770368
S548,Chr1,2693987,2778248
9311,Chr1,2684154,2768384
Y58S,Chr1,2682303,2766558
J4155,Chr1,2682015,2766268
G8,Chr1,2694334,2778590
Y3551,Chr1,2670533,2754794
IR64,Chr1,2559303,2656742
R498,Chr1,2597539,2670260
TM,Chr1,2808479,2879359
Tumba,Chr1,2553732,2638788
G630,Chr1,2670554,2754819
YX1,Chr1,2615849,2686785
WSSM,Chr1,2690360,2774619
FH838,Chr1,2959487,3043747
N22,Chr1,2689847,2753404
Basmati1,Chr1,2520954,2591935
Kasalath,chr01,2581339,2645686
