genome	chrom	start	end	coverage	identity	score	orientation	num_hits	subject_span	q_low	q_high
LJ	Chr11	27479934	27768730	0.2395	0.00	0.2852	.	11	288796	45055	125995
LJ	Chr11	27661726	27841182	0.2164	0.00	0.2658	.	10	179456	45055	125995
LJ	Chr11	27703087	27841182	0.1987	0.00	0.2456	.	8	138095	53084	125995
LJ	Chr12	15172959	15372901	0.1831	0.00	0.2231	.	8	199942	23259	96803
LJ	Chr4	10120425	10233346	0.1761	0.00	0.2175	.	8	112921	23259	96795
LJ	Chr4	9944741	10233346	0.1761	0.00	0.2173	.	10	288605	23259	96795
LJ	Chr11	13837864	14146604	0.1745	0.00	0.2169	.	18	308740	22312	96992
LJ	Chr10	15518771	15740219	0.1721	0.00	0.2146	.	8	221448	22597	96732
LJ	Chr5	8918114	9065068	0.1647	0.00	0.2076	.	8	146954	22312	96992
LJ	Chr5	8918114	9065068	0.1647	0.00	0.2076	.	8	146954	22312	96992
LJ	Chr12	8757662	8962785	0.1639	0.00	0.2063	.	7	205123	23259	96992
LJ	Chr10	9000552	9201751	0.1612	0.00	0.2048	.	7	201199	22305	96992
LJ	Chr11	20616576	20878330	0.1610	0.00	0.2041	.	9	261754	22950	96998
LJ	Chr5	10822405	11116823	0.1610	0.00	0.2030	.	16	294418	23259	96719
LJ	Chr5	10822405	10978740	0.1610	0.00	0.2030	.	13	156335	23259	96719
LJ	Chr4	12509319	12670333	0.1560	0.00	0.1995	.	6	161014	22311	96731
LJ	Chr12	15268401	15515446	0.1563	0.00	0.1985	.	11	247045	23259	96803
LJ	Chr6	2422824	2585790	0.1542	0.00	0.1978	.	7	162966	22975	96709
LJ	Chr5	16755203	17031096	0.1523	0.00	0.1963	.	15	275893	22312	96992
LJ	Chr4	20096796	20292012	0.1490	0.00	0.1941	.	9	195216	22312	96766
LJ	Chr4	6161109	6288429	0.1461	0.00	0.1903	.	7	127320	22411	96803
LJ	Chr8	1807339	1927937	0.1449	0.00	0.1903	.	5	120598	22308	96992
LJ	Chr8	1807339	2026786	0.1449	0.00	0.1902	.	6	219447	22308	96992
LJ	Chr5	29275105	29420407	0.1461	0.00	0.1901	.	6	145302	23259	96995
LJ	Chr12	10195026	10461296	0.1435	0.00	0.1888	.	7	266270	22312	96803
LJ	Chr12	10055597	10257601	0.1437	0.00	0.1879	.	8	202004	22312	96187
