W1126.Start	W1126.End	W3096.Start	W3096.End	Length	PIdent
1	1293	32391	33681	1293	99.381
858	1287	62456	62890	447	84.787
1278	19014	34163	51915	17791	98.634
2498	2736	56065	56300	248	82.661
3208	3282	56293	56367	75	93.333
5890	5989	56402	56502	101	93.069
7870	8597	56491	57215	734	94.142
8832	9505	57214	57882	683	89.605
11238	12073	57869	58707	857	91.015
24399	25033	45217	45833	649	84.438
25073	28056	45840	48829	2991	92.076
28054	28567	48861	49371	518	91.892
28834	30293	49426	50863	1475	93.220
30319	32600	50854	53119	2302	95.743
33229	35200	53112	55081	1975	97.418
35667	46893	55110	66349	11276	98.333
36635	36870	35383	35598	241	78.838
36863	36937	36075	36149	75	93.333
36972	37072	38766	38865	101	94.059
37061	37785	40754	41481	734	94.005
37784	38449	41715	42388	684	90.351
38436	39250	44122	44957	846	89.362
42998	43430	33247	33675	445	84.944
45853	46006	65463	65310	156	91.667
47054	55538	66344	74830	8492	99.517
